Time (min),Abs
6.82927084,-0.889059305
6.829479218,-0.889403582
6.829687119,-0.890194058
6.829895496,-0.888892412
6.830104351,-0.889229894
6.830312252,-0.889826715
6.83052063,-0.886730373
6.830729008,-0.887470961
6.830937386,-0.889711916
6.831145763,-0.890567422
6.831354141,-0.887332499
6.831562519,-0.889421821
6.83177042,-0.88956219
6.831979275,-0.888848782
6.832187653,-0.889277518
6.832395554,-0.889186919
6.832603931,-0.889867544
6.832812309,-0.889153242
6.833020687,-0.88891238
6.833229065,-0.88959831
6.833437443,-0.889794827
6.833645821,-0.889386773
6.833853722,-0.889853537
6.834062576,-0.889820576
6.834270954,-0.889781058
6.834478855,-0.889812291
6.83468771,-0.88876015
6.834895611,-0.889818311
6.835103989,-0.888843
6.835312366,-0.888144612
6.835520744,-0.890880942
6.835729122,-0.889142335
6.835937023,-0.886889458
6.836145878,-0.888827562
6.836354256,-0.887040317
6.836562157,-0.88934356
6.836771011,-0.88753885
6.836978912,-0.888617814
6.83718729,-0.888878942
6.837396145,-0.88654536
6.837604046,-0.8895275
6.837812424,-0.890352011
6.838020325,-0.889319241
6.838229179,-0.889877617
6.838437557,-0.888583481
6.838645458,-0.889937758
6.838854313,-0.889546931
6.839062214,-0.888547659
6.839270592,-0.886877954
6.839479446,-0.889850795
6.839687347,-0.889985621
6.839895725,-0.889212787
6.840103626,-0.888816476
6.840312481,-0.886523902
6.840520859,-0.888683379
6.84072876,-0.889570713
6.840937614,-0.889195383
6.841145515,-0.890245616
6.841353893,-0.888439298
6.841562748,-0.8879385
6.841770649,-0.888949215
6.841979027,-0.889626265
6.842187405,-0.889747322
6.842395782,-0.889060438
6.84260416,-0.890285552
6.842812061,-0.88905555
6.843020916,-0.887372434
6.843228817,-0.889580429
6.843437195,-0.889701426
6.843646049,-0.890362322
6.843853951,-0.890164375
6.844062328,-0.889052868
6.844270706,-0.886414051
6.844479084,-0.889895678
6.844687462,-0.889378727
6.84489584,-0.889372468
6.845104218,-0.888940156
6.845312119,-0.88688463
6.845520496,-0.88812983
6.845729351,-0.889782012
6.845937252,-0.890326321
6.84614563,-0.889445424
6.846354008,-0.888726115
6.846562386,-0.889565349
6.846770763,-0.889063358
6.846979141,-0.889321208
6.847187519,-0.889644504
6.84739542,-0.889732778
6.847604275,-0.889682055
6.847812653,-0.889628172
6.848020554,-0.889820576
6.848228931,-0.889843404
6.848437309,-0.886776209
6.848645687,-0.888975263
6.848854065,-0.888822913
6.849062443,-0.888903856
6.849270821,-0.889099598
6.849478722,-0.889116287
6.849687576,-0.889438152
6.849895954,-0.891146898
6.850103855,-0.889336646
6.85031271,-0.890344262
6.850520611,-0.890451372
6.850728989,-0.890271366
6.850937366,-0.889017046
6.851145744,-0.88936466
6.851354122,-0.888927996
6.851562023,-0.889237464
6.851770878,-0.88926512
6.851979256,-0.890000522
6.852187157,-0.886986852
6.852396011,-0.888474345
6.852603912,-0.888945103
6.85281229,-0.889001429
6.853021145,-0.889361501
6.853229046,-0.889669895
6.853437424,-0.888944924
6.853645325,-0.890451133
6.853854179,-0.88890934
6.854062557,-0.889294684
6.854270458,-0.88992101
6.854479313,-0.88955611
6.854687214,-0.889865339
6.854895592,-0.888925076
6.855104446,-0.888501108
6.855312347,-0.886397004
6.855520725,-0.889538229
6.855728626,-0.889826775
6.855937481,-0.889676273
6.856145859,-0.88903749
6.85635376,-0.889330864
6.856562614,-0.890083671
6.856770515,-0.889309049
6.856978893,-0.89020443
6.857187748,-0.890321255
6.857395649,-0.890799344
6.857604027,-0.889657319
6.857812405,-0.890216351
6.858020782,-0.88946259
6.85822916,-0.889687657
6.858437061,-0.889632821
6.858645916,-0.889981628
6.858853817,-0.890462935
6.859062195,-0.888581872
6.859271049,-0.889030039
6.859478951,-0.889130354
6.859687328,-0.887032747
6.859895706,-0.888964891
6.860104084,-0.889972448
6.860312462,-0.889551103
6.86052084,-0.890464068
6.860729218,-0.889321923
6.860937119,-0.888817906
6.861145496,-0.890513063
6.861354351,-0.887835324
6.861562252,-0.889191568
6.86177063,-0.889194667
6.861979008,-0.889456809
6.862187386,-0.88946557
6.862395763,-0.889922798
6.862604141,-0.889098406
6.862812519,-0.889856219
6.86302042,-0.888385117
6.863229275,-0.889597178
6.863437653,-0.889764905
6.863645554,-0.890159428
6.863853931,-0.889300704
6.864062309,-0.888792753
6.864270687,-0.889040887
6.864479065,-0.889123261
6.864687443,-0.889304459
6.864895821,-0.888862193
6.865103722,-0.89010644
6.865312576,-0.887271524
6.865520954,-0.88919729
6.865728855,-0.890555382
6.86593771,-0.887818813
6.866145611,-0.890502393
6.866353989,-0.89102608
6.866562366,-0.886736751
6.866770744,-0.887591183
6.866979122,-0.889568865
6.867187023,-0.891314387
6.867395878,-0.890182197
6.867604256,-0.889303446
6.867812157,-0.890369833
6.868021011,-0.889164567
6.868228912,-0.888611496
6.86843729,-0.88952148
6.868646145,-0.887083292
6.868854046,-0.88998574
6.869062424,-0.889498353
6.869270325,-0.890501142
6.869479179,-0.890791059
6.869687557,-0.889768779
6.869895458,-0.891034663
6.870104313,-0.889840841
6.870312214,-0.889621437
6.870520592,-0.889385819
6.870729446,-0.889652968
6.870937347,-0.890949369
6.871145725,-0.88987118
6.871353626,-0.888981581
6.871562481,-0.889586031
6.871770859,-0.888794363
6.87197876,-0.889310062
6.872187614,-0.890536487
6.872395515,-0.885875523
6.872603893,-0.888549566
6.872812748,-0.886443257
6.873020649,-0.889109731
6.873229027,-0.889109194
6.873437405,-0.889288962
6.873645782,-0.89000237
6.87385416,-0.888711453
6.874062061,-0.889701128
6.874270916,-0.889091313
6.874478817,-0.888353229
6.874687195,-0.888593257
6.874896049,-0.889430106
6.875103951,-0.889693737
6.875312328,-0.888954282
6.875520706,-0.88775909
6.875729084,-0.888719499
6.875937462,-0.889048576
6.87614584,-0.88959676
6.876354218,-0.889067411
6.876562119,-0.887048185
6.876770496,-0.889533401
6.876979351,-0.890179932
6.877187252,-0.889265895
6.87739563,-0.888499796
6.877604008,-0.888522685
6.877812386,-0.889167249
6.878020763,-0.889710903
6.878229141,-0.890589178
6.878437519,-0.889995813
6.87864542,-0.889906108
6.878854275,-0.889909267
6.879062653,-0.889604867
6.879270554,-0.887699246
6.879478931,-0.889663518
6.879687309,-0.889669418
6.879895687,-0.889730156
6.880104065,-0.889576197
6.880312443,-0.889616072
6.880520821,-0.890997827
6.880728722,-0.889736176
6.880937576,-0.890184879
6.881145954,-0.889266133
6.881353855,-0.88937819
6.88156271,-0.890189767
6.881770611,-0.88913393
6.881978989,-0.889639497
6.882187366,-0.889160216
6.882395744,-0.889296651
6.882604122,-0.888513386
6.882812023,-0.889609754
6.883020878,-0.889376819
6.883229256,-0.887542427
6.883437157,-0.889457166
6.883646011,-0.886735737
6.883853912,-0.890191495
6.88406229,-0.890348852
6.884271145,-0.890400946
6.884479046,-0.890162706
6.884687424,-0.890285552
6.884895325,-0.886665225
6.885104179,-0.889531374
6.885312557,-0.890206158
6.885520458,-0.889958561
6.885729313,-0.88947773
6.885937214,-0.889327347
6.886145592,-0.890269339
6.886354446,-0.889984846
6.886562347,-0.890401602
6.886770725,-0.887937009
6.886978626,-0.889359593
6.887187481,-0.891004503
6.887395859,-0.887417495
6.88760376,-0.890916824
6.887812614,-0.887028098
6.888020515,-0.889666438
6.888228893,-0.88950634
6.888437748,-0.891395748
6.888645649,-0.888428867
6.888854027,-0.890051544
6.889062405,-0.886981785
6.889270782,-0.889274597
6.88947916,-0.889626145
6.889687061,-0.889170349
6.889895916,-0.889315486
6.890103817,-0.887426019
6.890312195,-0.891055405
6.890521049,-0.890190721
6.890728951,-0.890218198
6.890937328,-0.889577806
6.891145706,-0.889592946
6.891354084,-0.88955754
6.891562462,-0.889469504
6.89177084,-0.8889305
6.891979218,-0.889496386
6.892187119,-0.889797628
6.892395496,-0.889175296
6.892604351,-0.890176475
6.892812252,-0.890281797
6.89302063,-0.889348388
6.893229008,-0.88961643
6.893437386,-0.889144957
6.893645763,-0.890103757
6.893854141,-0.890227318
6.894062519,-0.889901757
6.89427042,-0.889100552
6.894479275,-0.888443232
6.894687653,-0.889326632
6.894895554,-0.889498055
6.895103931,-0.889015675
6.895312309,-0.88961184
6.895520687,-0.888824463
6.895729065,-0.889815927
6.895937443,-0.89015466
6.896145821,-0.888743758
6.896353722,-0.889943659
6.896562576,-0.889098644
6.896770954,-0.888261974
6.896978855,-0.891024172
6.89718771,-0.889220834
6.897395611,-0.889996469
6.897603989,-0.889062643
6.897812366,-0.887692511
6.898020744,-0.88883543
6.898229122,-0.888136387
6.898437023,-0.887691796
6.898645878,-0.888662636
6.898854256,-0.890374243
6.899062157,-0.889341533
6.899271011,-0.89000243
6.899478912,-0.88933593
6.89968729,-0.889371991
6.899896145,-0.889483452
6.900104046,-0.889685631
6.900312424,-0.890074968
6.900520325,-0.888394773
6.900729179,-0.887052834
